prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms,method
1027853,420744,752754,44,11542,790,0,35,798.750,1.06,x16_nonsplit_halving
1027853,765877,402403,826,26559,1237,3,46,1308.500,1.06,x16_nonsplit_halving
1027853,765877,951244,83,19958,831,0,37,840.250,1.06,x16_nonsplit_halving
1027853,563654,637106,92,17185,1571,3,66,1647.500,1.06,x16_nonsplit_halving
1027853,563654,784447,47,12083,819,0,35,827.750,1.06,x16_nonsplit_halving
1027853,576853,436791,135,13208,1038,3,36,1107.000,1.06,x16_nonsplit_halving
1027853,576853,809759,49,12101,837,0,38,846.500,1.06,x16_nonsplit_halving
1028597,207804,145143,127,18667,1336,3,49,1408.250,0.77,x16_nonsplit_halving
1028597,207804,963483,49,12850,904,0,38,913.500,0.77,x16_nonsplit_halving
1028597,259930,859000,408,16018,1334,3,49,1406.250,0.77,x16_nonsplit_halving
1028597,259930,369735,56,12458,935,0,38,944.500,0.77,x16_nonsplit_halving
1028597,147007,559541,421,15166,1262,3,46,1333.500,0.77,x16_nonsplit_halving
1028597,951549,551795,28,15934,1457,3,56,1531.000,0.77,x16_nonsplit_halving
1028597,147007,205837,16,12917,928,0,42,938.500,0.77,x16_nonsplit_halving
1028597,951549,567726,31,12541,806,0,32,814.000,0.77,x16_nonsplit_halving
1028597,304929,20212,111,14542,1149,3,43,1219.750,0.77,x16_nonsplit_halving
1028597,304929,606821,50,12559,861,0,36,870.000,0.77,x16_nonsplit_halving
1028597,480160,614154,13,14393,1115,3,38,1184.500,0.77,x16_nonsplit_halving
1028597,480160,776161,54,11292,861,0,36,870.000,0.77,x16_nonsplit_halving
1028597,158443,420011,249,13750,1119,3,38,1188.500,0.77,x16_nonsplit_halving
1028597,158443,156854,43,12958,953,0,41,963.250,0.77,x16_nonsplit_halving
1028597,949121,958062,212,15542,1271,3,45,1342.250,0.77,x16_nonsplit_halving
1028597,949121,127208,47,12684,849,0,34,857.500,0.77,x16_nonsplit_halving
1028597,909520,613567,781,14018,1162,3,40,1232.000,0.77,x16_nonsplit_halving
1028597,909520,89768,36,12333,849,0,34,857.500,0.77,x16_nonsplit_halving
1028597,115258,688410,55,30685,1379,3,52,1452.000,0.77,x16_nonsplit_halving
1028597,168665,116827,28,14142,1367,3,51,1439.750,0.77,x16_nonsplit_halving
1028843,86033,988575,5047,333,66,0,0,66.000,285.03,bruteforce
1028843,978259,900596,3309,333,66,0,0,66.000,285.03,bruteforce
1028843,188379,746994,814,334,66,0,0,66.000,285.03,bruteforce
1028843,19226,234747,16627,292,66,0,0,66.000,285.03,bruteforce
1028843,457799,282193,397,708,66,0,0,66.000,285.03,bruteforce
1028843,496668,652177,3689,291,66,0,0,66.000,285.03,bruteforce
1028843,663282,493974,1255,291,66,0,0,66.000,285.03,bruteforce
1028843,388973,968583,7447,334,66,0,0,66.000,285.03,bruteforce
1028843,81739,530053,19634,292,66,0,0,66.000,285.03,bruteforce
